market_cap_cr,div_yield,roce,roe,pb,revenue_cagr_3y,ticker,pe
18031.0,0.0,-28.1,-108.0,4.16,-0.0041,OLAELEC,
1247325.0,1.36,7.51,14.4,2.23,,HDFCBANK,16.7
913314.0,2.38,63.4,52.1,8.53,0.058,TCS,17.4
1827154.0,0.41,9.69,8.4,2.08,0.0534,RELIANCE,23.8
524189.0,3.33,37.5,28.8,6.3,0.0567,INFY,18.2
946670.0,0.83,7.87,17.9,2.73,,ICICIBANK,17.9
133643.0,0.18,46.6,36.0,25.63,0.6449,BSE,61.3
984630.0,1.49,6.47,17.2,1.66,,SBIN,12.2
14457.0,0.0,14.9,12.7,3.82,0.2294,COHANCE,48.1
121520.0,0.0,62.6,49.9,16.3,1.1187,GROWW,75.3
397066.0,0.97,20.2,16.9,5.11,0.0898,SUNPHARMA,32.7
267524.0,6.1,48.0,38.9,2.54,0.0013,COALINDIA,8.96
25661.0,1.16,3.59,3.64,0.89,0.0604,NIACL,21.5
291383.0,5.84,25.3,38.5,7.23,-0.065,VEDL,26.5
544737.0,0.86,14.5,16.6,5.37,0.1482,LT,31.9
1139410.0,0.86,13.5,23.2,9.03,0.135,BHARTIARTL,37.2
214889.0,5.37,19.5,16.6,2.51,0.0015,WIPRO,16.2
231830.0,0.0,2.66,1.71,7.52,0.8232,ETERNAL,1004.0
339044.0,0.0,22.5,26.1,5.81,0.1185,ADANIPOWER,29.6
419872.0,0.07,7.11,16.3,2.04,,AXISBANK,16.0
405366.0,0.78,13.9,18.0,4.89,0.1539,M&M,25.4
139097.0,0.0,10.2,13.6,5.94,0.2589,ADANIENSOL,61.9
372545.0,0.13,8.17,15.4,2.22,,KOTAKBANK,19.8
575621.0,0.48,11.4,19.2,5.57,,BAJFINANCE,31.6
64912.0,0.07,40.0,32.8,15.93,0.5862,DIXON,46.1
126697.0,0.02,19.4,13.8,27.65,0.1765,POWERINDIA,144.0
68068.0,0.22,42.9,34.3,32.63,0.4911,MCX,72.6
241750.0,0.96,11.0,15.6,3.19,,SHRIRAMFIN,26.4
178776.0,0.0,8.7,14.6,9.12,0.1714,ADANIGREEN,108.0
94390.0,0.06,34.9,27.4,8.22,0.4839,WAAREEENER,27.1
33027.0,0.0,-65.7,-156.0,12.1,0.2123,ATHERENERG,
274285.0,2.14,28.1,22.8,8.02,0.1655,BAJAJ-AUTO,30.7
226438.0,1.05,25.7,20.6,11.57,0.002,ASIANPAINT,55.5
163698.0,0.0,,,,,TMCV,37.6
399948.0,0.24,19.1,31.8,31.28,0.2304,TITAN,82.0
104566.0,1.76,14.3,28.8,8.32,0.0889,ASHOKLEY,29.0
82571.0,0.51,15.6,14.7,3.88,0.1957,LODHA,24.7
142445.0,1.0,36.3,28.2,18.03,0.1429,CUMMINSIND,61.2
431014.0,0.98,21.7,15.9,4.32,0.1347,MARUTI,28.9
29094.0,0.55,36.6,27.6,12.7,0.3658,GRSE,42.2
222947.0,0.5,14.8,14.0,1.65,0.0545,HINDALCO,12.9
339903.0,0.47,13.8,18.8,5.07,0.205,ADANIPORTS,26.9
176091.0,0.22,17.3,103.0,20.42,0.1586,INDIGO,38.4
257922.0,1.74,8.83,3.89,2.72,-0.0257,TATASTEEL,26.4
368619.0,2.2,9.95,12.1,1.92,0.021,NTPC,15.2
12918.0,0.12,7.55,4.42,3.13,-0.0611,HFCL,249.0
145359.0,0.57,29.9,22.4,18.54,0.2102,ABB,87.1
381209.0,4.72,36.8,27.3,5.36,0.0402,ITC,18.5
275014.0,0.97,33.9,26.1,7.41,0.0685,HAL,30.9
203651.0,0.94,29.8,24.1,9.22,0.1605,EICHERMOT,37.7
182429.0,0.31,15.4,28.4,22.46,0.1802,TVSMOTOR,62.6
41113.0,1.24,20.3,16.0,5.94,0.2397,COFORGE,32.7
99643.0,0.7,43.2,34.0,11.18,0.1636,MAZDOCK,41.4
393807.0,3.72,31.6,25.0,5.52,0.0761,HCLTECH,22.9
76588.0,2.52,44.0,32.7,3.86,0.0828,NATIONALUM,12.5
341504.0,0.67,10.9,9.29,4.74,0.1069,ULTRACEMCO,44.0
85612.0,0.64,30.4,24.1,11.98,0.1861,PERSISTENT,47.6
323421.0,0.54,38.9,29.2,14.98,0.1438,BEL,54.2
104136.0,0.12,,18.6,97.06,,GVT&D,558.0
139227.0,0.13,30.7,30.4,22.77,0.3271,TRENT,84.0
109379.0,3.02,30.3,23.1,5.21,0.0914,HEROMOTOCO,19.8
506407.0,2.0,27.8,20.7,10.41,0.0214,HINDUNILVR,46.4
143521.0,3.63,9.73,21.0,1.13,,PFC,5.69
26119.0,0.0,14.3,10.7,5.58,0.4408,KAYNES,66.9
38531.0,0.67,20.3,15.6,6.75,0.3082,COCHINSHIP,53.0
63904.0,0.04,17.5,16.8,14.17,0.0905,ATGL,99.5
100217.0,0.0,-1.93,,-1.22,0.0184,IDEA,
99138.0,0.18,4.87,2.12,4.07,0.0925,BHEL,122.0
129873.0,5.85,16.2,17.3,1.38,-0.0182,BPCL,5.2
29801.0,0.18,30.0,20.8,8.5,0.2079,FORCEMOT,31.1
25594.0,1.71,25.8,27.1,4.39,0.1639,ANGELONE,33.3
281576.0,2.97,12.8,17.0,2.86,0.0126,POWERGRID,18.1
9720.0,0.03,20.5,14.3,8.64,0.2471,OLECTRA,68.0
92779.0,0.16,14.9,12.7,9.25,0.2128,MAXHEALTH,63.6
51702.0,0.0,6.57,8.98,2.82,0.19,GODREJPROP,32.4
116347.0,0.45,29.7,21.4,10.98,0.2416,POLYCAB,44.3
360425.0,4.28,12.0,10.6,0.98,0.014,ONGC,9.49
134724.0,0.13,10.3,19.7,5.15,,CHOLAFIN,27.8
64252.0,0.61,3.0,1.16,1.32,0.105,NAUKRI,47.6
126158.0,1.75,20.0,28.1,1.14,0.0035,TMPV,21.0
140994.0,1.05,6.51,11.4,3.28,0.1863,DLF,32.7
269539.0,0.06,9.45,9.82,4.99,-0.0935,ADANIENT,73.1
27241.0,0.96,42.0,32.7,15.62,0.2588,CDSL,57.2
108004.0,0.25,16.6,18.4,11.89,0.1338,APOLLOHOSP,59.5
25496.0,0.0,14.5,11.3,6.99,0.1941,AMBER,110.0
19053.0,0.07,32.4,23.9,32.8,0.6007,NETWEB,107.0
56960.0,0.14,7.66,3.48,3.6,0.0684,PRESTIGE,58.7
110100.0,1.37,21.1,15.6,7.85,0.0909,BOSCHLTD,47.6
