market_cap_cr,pe,roce,roe,ticker
419872.0,16.0,7.11,16.3,AXISBANK
111262.0,15.1,9.82,11.0,BAJAJHLDNG
43862.0,33.4,16.7,15.8,BALKRISIND
1139410.0,37.2,13.5,23.2,BHARTIARTL
27241.0,57.2,42.0,32.7,CDSL
18428.0,22.3,14.7,11.8,CIEINDIA
99317.0,20.9,22.7,17.8,CIPLA
4916.0,14.9,23.7,17.1,CMSINFO
267524.0,8.96,48.0,38.9,COALINDIA
102846.0,18.5,22.7,18.0,DRREDDY
15199.0,14.4,16.6,9.54,EIDPARRY
19600.0,8.67,13.9,14.1,GESHIP
393807.0,22.9,31.6,25.0,HCLTECH
1247325.0,16.7,7.51,14.4,HDFCBANK
946670.0,17.9,7.87,17.9,ICICIBANK
5165.0,27.3,23.1,16.8,ICRA
11591.0,24.1,53.4,40.7,IEX
22586.0,13.6,20.8,16.4,IGL
115512.0,16.2,29.0,32.5,INDUSTOWER
524189.0,18.2,37.5,28.8,INFY
381209.0,18.5,36.8,27.3,ITC
372545.0,19.8,8.17,15.4,KOTAKBANK
405366.0,25.4,13.9,18.0,M&M
,,,,MAHSCOOTER
431014.0,28.9,21.7,15.9,MARUTI
10626.0,11.1,22.7,17.7,MGL
8087.0,19.8,21.1,15.8,NESCO
35863.0,43.4,20.8,24.2,NH
281576.0,18.1,12.8,17.0,POWERGRID
,,,,SWARAJENG
913314.0,17.4,63.4,52.1,TCS
,,,,ZYDUSWELL
92111.0,18.0,24.3,21.2,ZYDUSLIFE
